run,best_weight_lb,best_objective_lb_equiv,best_violation,best_d1_in,best_d2_in,best_d3_in,gear_deflection_in_opt,gear_deflection_in_final,required_d1_in,required_d2_in,required_d3_in
73,17.34996934475048,17.48685275857822,0.0,1.5330825925564882,1.8261378753657445,1.7463925835484069,0.004994547854236123,0.004980574282628568,1.5328078231053681,1.651692543058197,1.4942084936164375
74,17.346273913962275,17.483338249311544,0.0,1.532811330541978,1.8272518186721116,1.7448943022765726,0.004998968328599427,0.004985256367721239,1.5328078231053681,1.651692543058197,1.4942084936164375
75,17.34623140111265,17.484195700927764,0.0,1.5331842881217397,1.8269854005202952,1.7449712002169995,0.004999731348250033,0.004985983066250867,1.5328078231053681,1.651692543058197,1.4942084936164375
76,17.34954437143642,17.487043738834192,0.0,1.5332956217266474,1.8262482149885768,1.7461103021144617,0.0049958485671138895,0.00498191361183235,1.5328078231053681,1.651692543058197,1.4942084936164375
77,17.35430266307377,17.49089213373129,0.0,1.533304174524376,1.8269080114949403,1.7460277438684872,0.004993249525065198,0.004979397407417556,1.5328078231053681,1.651692543058197,1.4942084936164375
78,17.3547821169288,17.490836772719003,0.0,1.5331298762559615,1.8267682244695558,1.7463274919175287,0.004991974135966682,0.004978078590080202,1.5328078231053681,1.651692543058197,1.4942084936164375
79,17.350088516272287,17.490896696219718,0.0,1.5347207902418518,1.825407135898848,1.74630854187586,0.004998564652237254,0.004984519446152424,1.5328078231053681,1.651692543058197,1.4942084936164375
80,17.34962617903732,17.48749773401222,0.0,1.533402981832509,1.8279359279251073,1.7442973320480888,0.00499960661833543,0.004986028216665956,1.5328078231053681,1.651692543058197,1.4942084936164375
81,17.349448926089973,17.48715857787894,0.0,1.5333397730779412,1.827358809383947,1.7449124313258904,0.004998342080254212,0.004984642124401199,1.5328078231053681,1.651692543058197,1.4942084936164375
82,17.343346689571156,17.481469043558707,0.0,1.533043787250639,1.8257354201881708,1.7459818958202489,0.004999119418014742,0.004985136664791785,1.5328078231053681,1.651692543058197,1.4942084936164375
83,17.345272041966233,17.485179781292537,0.0,1.5339502553009812,1.8252832494386917,1.7462246687833494,0.004999699560989198,0.004985645606788613,1.5328078231053681,1.651692543058197,1.4942084936164375
84,17.345907557465836,17.485193034889633,0.0,1.5337410925792865,1.825553023433004,1.7461346457564098,0.004998997338317247,0.004984981838403402,1.5328078231053681,1.651692543058197,1.4942084936164375
85,17.35034543952175,17.48963116639238,0.0,1.5341155629832326,1.8255351832370508,1.746526800452039,0.004996545324832163,0.004982493502466347,1.5328078231053681,1.651692543058197,1.4942084936164375
86,17.35836885473259,17.493551058770784,0.0,1.5329562639478136,1.8305405676468252,1.7429268187771179,0.004996260371248729,0.0049831004852163956,1.5328078231053681,1.651692543058197,1.4942084936164375
87,17.350193058417123,17.487232783500545,0.0,1.533179510232423,1.8256642993767713,1.7468653826785132,0.004993745878557537,0.004979675846222498,1.5328078231053681,1.651692543058197,1.4942084936164375
88,17.351099045532905,17.4877953329974,0.0,1.5330669906143615,1.8272659613570175,1.7453658495920343,0.004995840729008397,0.004982088487853949,1.5328078231053681,1.651692543058197,1.4942084936164375
89,17.351312370571144,17.488867816293663,0.0,1.5334837247669564,1.825704858035732,1.7468067131546494,0.004993930810016714,0.004979871527185284,1.5328078231053681,1.651692543058197,1.4942084936164375
90,17.350588699329396,17.48846457543588,0.0,1.53348063711454,1.8281034090031048,1.7442048055448824,0.004999416103589383,0.004985865350747546,1.5328078231053681,1.651692543058197,1.4942084936164375
91,17.352617955109977,17.489342453480106,0.0,1.5331613938874349,1.8287114797815787,1.743997102624525,0.004997895500931753,0.004984431813095198,1.5328078231053681,1.651692543058197,1.4942084936164375
92,17.358442337456378,17.49367296568288,0.0,1.5329910280567864,1.8302736868586327,1.7431981985565903,0.004995743015863528,0.004982528395180215,1.5328078231053681,1.651692543058197,1.4942084936164375
93,17.351847915091504,17.488728077578255,0.0,1.5331681349069999,1.828459958923253,1.7441580744295269,0.004998035686256489,0.004984528856057413,1.5328078231053681,1.651692543058197,1.4942084936164375
94,17.350237562528147,17.489240034498614,0.0,1.5339546017239916,1.8267304663531891,1.7453475903892601,0.004998496773981592,0.0049846874982434845,1.5328078231053681,1.651692543058197,1.4942084936164375
95,17.349348145326353,17.485719627519156,0.0,1.532826389075439,1.8259461998175757,1.7466480128873612,0.0049938092550293675,0.004979790072935331,1.5328078231053681,1.651692543058197,1.4942084936164375
96,17.3549853697904,17.49082238687101,0.0,1.533023026180182,1.8279085490662894,1.7452163414385113,0.00499376739750932,0.0049801017429781675,1.5328078231053681,1.651692543058197,1.4942084936164375
97,17.350707982753793,17.487642767320825,0.0,1.5331393331649825,1.827015198718222,1.7455398940923663,0.0049959012145981,0.004982104861409792,1.5328078231053681,1.651692543058197,1.4942084936164375
98,17.354396151896033,17.49255120292902,0.0,1.5339654506586602,1.8264910456221448,1.7461274981408972,0.004994581622136902,0.00498067470381966,1.5328078231053681,1.651692543058197,1.4942084936164375
99,17.360785898102524,17.495931281457043,0.0,1.5331392166811937,1.830719437993377,1.7429539140912418,0.004995242863442896,0.004982101224484978,1.5328078231053681,1.651692543058197,1.4942084936164375
100,17.34449364972772,17.482168006506754,0.0,1.5329521353102444,1.8258995184657638,1.7460061438575847,0.004998181806430316,0.004984215403945093,1.5328078231053681,1.651692543058197,1.4942084936164375
